Lon,Lat,Clave,Edo,Est,Tmed
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,21.89583333
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,22.5
-100.72,20.03,ACNGJ,GTO,Acámbaro Gto.,22.7
-100.67,20.05,SLSGJ,GTO,Solís Gto.,22.53333333
-100.52,20.13,JCRGJ,GTO,Jerécuaro Gto.,20.88541667
-100.9,20.28,ECBGJ,GTO,El Cubo Gto.,22.91666667
-100.88,20.21,SLVGJ,GTO,Salvatierra Gto.,22.475
-101.36,20.28,LJIGJ,GTO,Las Jícamas Gto.,24.125
-100.75,20.28,TARGJ,GTO,Tarimoro Gto.,22.91666667
-101.07,20.29,LDYGJ,GTO,Laguna de Yuriria Gto.,20.81666667
-101.07,20.3,SRTGJ,GTO,Santa Rita Gto.,22.55833333
-101.18,20.39,VDSGJ,GTO,Valle de Santiago Gto.,23.11111111
-101.02,20.4,SJLGJ,GTO,Santa Julia Gto.,21.75
-101.52,20.43,ABSGJ,GTO,Abasolo Gto.,24.76666667
-101.74,20.44,GLNGJ,GTO,La Golondrina Gto.,22.59615385
-100.62,20.45,APSGJ,GTO,Apaseo el Alto Gto.,22.74166667
-100.95,20.48,CRTGJ,GTO,Cortázar Gto.,24
-101.63,20.5,ATBGJ,GTO,Agua Tibia Gto.,23.10833333
-101.13,20.52,PERGJ,GTO,Pericos Gto.,22.49285714
-100.82,20.53,CLYGJ,GTO,Celaya Gto.,23.98333333
-100.68,20.53,AEGGJ,GTO,Apaseo el Grande Gto.,24.27884615
-100.58,20.55,AMCGJ,GTO,Ameche Gto.,22.30833333
-101.2,20.57,SLMGJ,GTO,Salamanca Gto.,23.55833333
-101.3,20.6,TEMGJ,GTO,Temascatío Gto.,25.10833333
-101.67,20.62,CRMGJ,GTO,Cuerámaro Gto.,25.18333333
-101.84,20.68,LADGJ,GTO,Las Adjuntas Gto.,22.83928571
-101.37,20.73,ECNGJ,GTO,El Conejo Gto.,23.64285714
-100.83,20.85,IALGJ,GTO,Ignacio Allende Gto.,23.11666667
-101.29,20.87,PRSGJ,GTO,La Purísima Gto.,23.41666667
-100.9,20.95,CSRGJ,GTO,Cinco Señores Gto.,21.39166667
-101.26,21.01,GTOGJ,GTO,Guanajuato Gto.,23.59285714
-101.83,21.05,BRRGJ,GTO,El Barrial Gto.,23.01666667
-101.67,21.1,LENGJ,GTO,León Gto.,24.92857143
-100.93,21.15,DHGGJ,GTO,Dolores Hidalgo Gto.,21.3
-101.69,21.17,EPLGJ,GTO,El Palote Gto.,24.84166667
-101.67,21.2,CSTGJ,GTO,Los Castillos Gto.,23.81666667
-101.63,21.29,BARBOSA,GTO,Barbosa Gto. Protección Civil*,20.40178571
-100.09,21.3,XICGJ,GTO,Xichú Gto.,25.16071429
-100.52,21.3,SLPGJ,GTO,San Luis de la Paz Gto.,19.95
-101.52,21.63,OCMGJ,GTO,Ocampo Gto.,19.5
-100.87,20.38,LGVGJ,GTO,Presa la Gavia Gto.,20.18333333
-100.88,21.1,PNLGJ,GTO,Peñuelitas Gto.,23.39814815
-98.75,20.13,76632,HGO,PACHUCA,18.97333333
-98.36,20.08,76634,HGO,TULANCINGO,19.26833333
-98.13,20.14,LAGUNASGT,HGO,La Laguna Hgo. SGT*,16.5498
-99.31,19.96,PRQHD,HGO,Requena Hgo.,20.325
-98.33,20.06,PERHD,HGO,La Esperanza Hgo.,17.78333333
