Lon,Lat,Clave,Edo,Est,Tmin
-101.22,21.48,SFEGJ,GTO,San Felipe Gto.,7.533333333
-100.36,20.2,CORGJ,GTO,Coroneo Gto.,5.3
-101.11,21.32,LQMGJ,GTO,La Quemada Gto.,6.533333333
-100.5,21.22,POZGJ,GTO,Pozos Gto.,10.05
-101.02,20.43,SMAGJ,GTO,San Miguel de Allende Gto.,11
-100.75,20.58,SMOGJ,GTO,San Miguel Octopan Gto.,14.64
-100.72,20.03,ACNGJ,GTO,Acámbaro Gto.,12.16666667
-100.67,20.05,SLSGJ,GTO,Solís Gto.,11.68965517
-100.52,20.13,JCRGJ,GTO,Jerécuaro Gto.,8.928571429
-100.9,20.28,ECBGJ,GTO,El Cubo Gto.,9.066666667
-100.88,20.21,SLVGJ,GTO,Salvatierra Gto.,10.27586207
-101.36,20.28,LJIGJ,GTO,Las Jícamas Gto.,12.53333333
-100.75,20.28,TARGJ,GTO,Tarimoro Gto.,11.18333333
-101.07,20.29,LDYGJ,GTO,Laguna de Yuriria Gto.,10.15
-101.07,20.3,SRTGJ,GTO,Santa Rita Gto.,10.03333333
-101.18,20.39,VDSGJ,GTO,Valle de Santiago Gto.,10.11538462
-101.02,20.4,SJLGJ,GTO,Santa Julia Gto.,9.916666667
-101.52,20.43,ABSGJ,GTO,Abasolo Gto.,14.98333333
-101.74,20.44,GLNGJ,GTO,La Golondrina Gto.,13.43478261
-100.62,20.45,APSGJ,GTO,Apaseo el Alto Gto.,13.16666667
-100.95,20.48,CRTGJ,GTO,Cortázar Gto.,12.83333333
-101.63,20.5,ATBGJ,GTO,Agua Tibia Gto.,9.8
-101.13,20.52,PERGJ,GTO,Pericos Gto.,8.879310345
-100.82,20.53,CLYGJ,GTO,Celaya Gto.,12.75925926
-100.68,20.53,AEGGJ,GTO,Apaseo el Grande Gto.,12.75925926
-100.58,20.55,AMCGJ,GTO,Ameche Gto.,10.6
-101.2,20.57,SLMGJ,GTO,Salamanca Gto.,12.75
-101.3,20.6,TEMGJ,GTO,Temascatío Gto.,13.31666667
-101.67,20.62,CRMGJ,GTO,Cuerámaro Gto.,14.8
-101.84,20.68,LADGJ,GTO,Las Adjuntas Gto.,10
-101.35,20.68,IRPGJ,GTO,Irapuato Gto.,11.01724138
-101.37,20.73,ECNGJ,GTO,El Conejo Gto.,10.76666667
-100.83,20.85,IALGJ,GTO,Ignacio Allende Gto.,11.91666667
-101.29,20.87,PRSGJ,GTO,La Purísima Gto.,12.23333333
-100.9,20.95,CSRGJ,GTO,Cinco Señores Gto.,8.465517241
-101.26,21.01,GTOGJ,GTO,Guanajuato Gto.,12.5
-101.83,21.05,BRRGJ,GTO,El Barrial Gto.,10.23333333
-101.67,21.1,LENGJ,GTO,León Gto.,15.31666667
-100.93,21.15,DHGGJ,GTO,Dolores Hidalgo Gto.,6.137931034
-101.69,21.17,EPLGJ,GTO,El Palote Gto.,13
-101.67,21.2,CSTGJ,GTO,Los Castillos Gto.,11.86666667
-101.63,21.29,BARBOSA,GTO,Barbosa Gto. Protección Civil*,9.826666667
-100.09,21.3,XICGJ,GTO,Xichú Gto.,13.81481481
-100.52,21.3,SLPGJ,GTO,San Luis de la Paz Gto.,8.538461538
-101.52,21.63,OCMGJ,GTO,Ocampo Gto.,9
