Estado,Localidad,Lon,Lat,Clave,Tmax,Tmin,Tmed
JAL,Tlaquepaque Jal.,-103.32,20.58,TLAJL,26.77419355,10.67741935,18.72580645
MEX,Acolman Méx. OCAVM*,-98.91,19.63,ACOLMAN,22.27,4.53,13.4
MEX,Atenco Méx.,-98.91,19.54,ATEMX,22.93548387,1.741935484,12.33870968
MEX,CCH Naucalpan,-99.24,19.47,CCH N,22.18709677,8.277419355,15.23225806
MEX,Calacoaya Méx.,-99.24,19.53,CLYMX,21.43548387,5.338709677,13.38709677
MEX,Chapingo Méx.,-98.88,19.48,CHPMX,24.83870968,3.725806452,14.28225806
MEX,Colonia Hidalgo Mex.,-99.47,18.8,CHDMX,29.83870968,16.09677419,22.96774194
MEX,Danxhó Méx.,-99.56,19.88,DNXMX,18.64516129,0.7419354840000001,9.693548387
MEX,El Molinito Río Hondo Méx.,-99.24,19.45,EMOMX,24.0,-1.096774194,11.4516129
MEX,José Antonio Alzate Méx.,-99.7,19.47,SBBMX,21.12903226,-1.935483871,9.596774194
MEX,La Concepción Méx.,-99.3,19.7,CNPMX,22.32258065,2.935483871,12.62903226
MEX,La Grande Méx.,-98.92,19.58,GRDMX,22.25806452,7.258064516,14.75806452
MEX,Las Arboledas Méx.,-99.22,19.57,ARBMX,23.35483871,5.661290322999999,14.50806452
MEX,Molino Blanco Méx.,-99.22,19.48,MBLMX,21.48387097,4.741935484,13.11290323
MEX,Porfirio Díaz Méx.,-99.73,18.93,PDZMX,21.38709677,5.677419355,13.53225806
MEX,Presa Totolica Méx.,-99.28,19.45,PTLMX,21.048387100000003,2.419354839,11.73387097
MEX,Puente Colgante Méx.,-99.18,19.74,PCGMX,21.0,2.419354839,11.70967742
MEX,Rectoría Méx.,-99.65,19.3,RECMX,17.97096774,6.806451612999999,12.38870968
MEX,San Andrés Méx.,-98.91,19.53,SADMX,22.38709677,4.483870968,13.43548387
MEX,San Juan de las Huertas Méx.,-99.76,19.24,SJHMX,16.83870968,2.483870968,9.661290323
MEX,San Lucas Mex.,-98.86,19.64,SNLMX,22.0,3.193548387,12.59677419
MEX,San Luis Ameca Méx.,-98.87,19.19,SLAMX,21.43548387,3.85483871,12.64516129
MEX,San Martín Obispo Méx.,-99.19,19.62,OBSMX,21.24193548,7.387096774,14.31451613
