LON,LAT,EDO,CLAVE_SIH,NOMBRE,JUN
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",55.01
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",126.31
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",90.91
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",35.81
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",66.35
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",157.73
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",137.41
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",165.12
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",157.42
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",142.48
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",209.02
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",57.66
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",173.99
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",146.79
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",33
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",115.81
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",41.91
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",30.98
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",140.98
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",130.31
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",74.68
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",162.8
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",2.25
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",104.9
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",174.21
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",250.7
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",84.33
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",9.62
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",164.83
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",156.53
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",53.85
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",112.78
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",127.7
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",130.78
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",134.39
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",148.57
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",131.86
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",109.22
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",160.54
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",127.78
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",119.65
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",133.35
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",156.45
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",109.45
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",135.37
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",112.77
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",161.04
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",116.33
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",207.27
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",51.07
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",125.71
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",146.8
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de MÈx.",0
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",194.79
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, Cd. de MÈx.",195.84
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",30.73
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",128.15
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",90.15
-98.960556,19.320833,DF,SSCDF,"SubestaciÛn ElÈctrica Santa Catarina, Cd. de MÈx.",152.91
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",143.77
