LON,LAT,EDO,CLAVE,ESTACION,JUL
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",233.2
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",260.9
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",252.7
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, Cd. de MÈx.",214.1
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",59.4
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",144.9
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",101.6
-98.960556,19.320833,DF,SSCDF,"SubestaciÛn ElÈctrica Santa Catarina, Cd. de MÈx.",195.3
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",234.2
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",384.7
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de MÈx.",238.7
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de MÈx. SMN*",92
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, Cd. de MÈx.",90.4
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de MÈx.",270.8
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, Cd. de MÈx.",177.8
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de MÈx.",214.4
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de MÈx.",237.2
-99.228611,19.436389,DF,TSJDF,"Tanque San JoaquÌn, Cd. de MÈx.",208
-99.264444,19.359722,DF,TSLDF,"Trif. Santa LucÌa, Cd. de MÈx.",391.2
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de MÈx.",67.6
-99.211667,19.510278,DF,VDCDF,"Vaso de Cristo, MÈx.",229.9
-104.066111,25.263333,DGO,AM2DR,"AgustÌn Melgar, Dgo. SMN*",7.3
-104.7,24,DGO,CAGDR,"Campo AgrÌcola, Dgo.",80.2
-104.8,24.516667,DGO,CB2DR,"Caboraca (hidro), Dgo.",47.4
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",51.7
