LON,LAT,EDO,CLAVE_SIH,NOMBRE,ENE
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",4
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",3.8
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",18
-100.634444,28.898611,COAH,RioSanRodrigoC,"Rio San Rodrigo cerca El Moral. Piedras Negras Coah., CILA*",2.25
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",7.01
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",1.75
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",5.54
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",4.7
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",2.52
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",7.42
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",3.55
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",15.03
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",5
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",0.01
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",0.01
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0.01
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",5.2
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0.01
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0.01
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",8.8
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0.3
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0.01
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0.2
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",0
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",20
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",0
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",1.2
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Col. SMN*",8.6
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",0.01
-103.396667,18.967222,COL,TRJCM,"Solidaridad, Col.",0.01
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0.01
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",1.27
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",0.75
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, Cd. de MÈx.",7.87
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",17.01
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",8.38
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",3.2
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",0
-99.1375,19.469722,DF,CMTDF,"Cien Metros, Cd. de MÈx.",0
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",3.3
-99.09,19.190278,DF,CTNDF,"San Salvador Cuautenco, Cd. de MÈx.",1.78
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",17.52
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",2
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., Cd. de MÈx.",4.31
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",6.36
-99.15,19.383333,DF,DVLDF,"Del Valle, Cd. de MÈx.",4.32
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",7.87
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",1.02
-99.352222,19.295,DF,EZCDF,"El Zarco, Cd. de MÈx.",6.86
-99.091667,19.478056,DF,GCNDF,"km 6+250 (Gran Canal), Cd. de MÈx.",18.6
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",1.53
-99.066667,19.377778,DF,LU4DF,"Lumbrera 4 RÌos, Cd. de MÈx.",10.41
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",2.28
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",0.25
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",12.95
-99.233056,19.187778,DF,MZTDF,"Calle Mezontepec (Abasolo), Cd. de MÈx.",1.77
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca AVM Sur, Cd. de MÈx.",3.81
-99.100278,19.379167,DF,PBADF,"Planta de Bombeo Aculco, Cd. de MÈx.",1.52
-99.057778,19.433333,DF,PBCDF,"Planta de Bombeo Churubusco L., Cd. de MÈx.",7.05
-99.119444,19.486667,DF,PBLDF,"Planta de Bombeo Lindavista, Cd. de MÈx.",13.72
-99.037778,19.38,DF,PBODF,"Planta de Bombeo U. E. de Oriente, Cd. de MÈx.",12.7
-99.170556,19.435556,DF,PBTDF,"Planta de Bombeo Tizoc, Cd. de MÈx.",2.28
-99.2,19.413056,DF,PCHDF,"Puerta Chapultepec, Cd. de MÈx.",3.3
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",7.62
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento La Estrella, Cd. de MÈx.",22.36
-99.068333,19.420278,DF,PLMDF,"Planta de Bombeo LÛpez Mateos, Cd. de MÈx.",10.16
-99.126389,19.365278,DF,PMLDF,"Planta de Bombeo Municipio Libre, Cd. de MÈx.",0
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",4.57
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",2.03
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",0
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",2.54
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",2.54
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",3.56
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",1.78
