LON,LAT,EDO,CLAVE_SIH,NOMBRE,FEB
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",4.31
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",14.47
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",2.79
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",2.54
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",3.81
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",2.03
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",7.11
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",6.6
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",2.54
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",8.63
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",4.82
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",2.54
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de MÈx.",6.35
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",9.65
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, Cd. de MÈx.",4.31
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",0
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",1.01
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",0.76
-98.960556,19.320833,DF,SSCDF,"SubestaciÛn ElÈctrica Santa Catarina, Cd. de MÈx.",1.52
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",7.11
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",22.86
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de MÈx.",11.18
-99.098889,19.385556,DF,TEZDF,"Tezontle, Cd. de MÈx. SMN*",4.07
-99.211667,19.399167,DF,TNGDF,"Tri·ngulo, Cd. de MÈx.",4.83
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de MÈx.",6.86
-99.084722,19.440833,DF,TPNDF,"Tanque PeÒÛn, Cd. de MÈx.",0.76
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de MÈx.",8.38
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de MÈx.",0
-99.228611,19.436389,DF,TSJDF,"Tanque San JoaquÌn, Cd. de MÈx.",3.05
-99.264444,19.359722,DF,TSLDF,"Trif. Santa LucÌa, Cd. de MÈx.",18.79
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de MÈx.",23.62
-99.211667,19.510278,DF,VDCDF,"Vaso de Cristo, MÈx.",4.82
-104.066111,25.263333,DGO,AM2DR,"AgustÌn Melgar, Dgo. SMN*",0
-104.493889,26.226389,DGO,APRDR,"Ing. BenjamÌn Ortega Cantero, Dgo.",0
-104.7,24,DGO,CAGDR,"Campo AgrÌcola, Dgo.",0.01
-104.8,24.516667,DGO,CB2DR,"Caboraca (hidro), Dgo.",0
-104.810278,24.538333,DGO,CBRDR,"Caboraca, Dgo.",0
-104.123333,26.521667,DGO,CEBDR,"Ceballos, Dgo.",1.5
-104.121111,24.4375,DGO,CGVDR,"Ciudad Guadalupe Victoria, Dgo.",0.01
-103.521667,25.533333,DGO,CLRDR,"Ciudad Lerdo, Dgo.",0
-103.698889,24.871944,DGO,CNCDR,"CuencamÈ, Dgo.",0.01
-104.75,24.5,DGO,CNTDR,"Canatl·n, Dgo.",0
-104.666667,24.033333,DGO,DRGDR,"Durango, Dgo.",0.3
-103.960278,24.001667,DGO,FV2DR,"Francisco Villa (hidro), Dgo.",0.5
-103.960833,24.001667,DGO,FVLDR,"Francisco Villa, Dgo.",0.5
-103.773611,25.270833,DGO,FZRDR,"Francisco Zarco, Dgo.",0
-105.25,25.5,DGO,GESDR,"General Escobedo, Dgo.",0.02
-105.955556,25.934722,DGO,GNCDR,"Guanacevit, Dgo.",0
-104.9225,24.803889,DGO,GUADR,"GuatimapÈ, Dgo",0
-104.753056,23.961111,DGO,GVCDR,"Presidente Guadalupe Victoria, Dgo.",0.2
-104.751944,23.960278,DGO,GVHDR,"Guadalupe Victoria, Dgo. (hidro)",0.2
-103.983333,26.549722,DGO,LAFLOR,"La Flor de Jimulco, Dgo. SMN*",0.8
