Lon,Lat,Clave,Edo,Est,Tmax
-99.2,19.31,CCHS,DF,Colegio de Ciencias y Humanidades Sur Cd. de MÈx. UNAM*,24.1
-99.2,19.31,CENAPRED,DF,CCA CENAPRED Cd. de Mex. SMN*,24.8
-99.16,19.35,ENP6,DF,Escuela Nacional Preparatoria 6 Cd. de MÈx. UNAM*,25.1
-99.19,19.37,ENP8,DF,Escuela Nacional Preparatoria 8 Cd. de MÈx. UNAM*,23.6
-99.06,19.38,CCHO,DF,Colegio de Ciencias y Humanidades Oriente Cd. de MÈx. UNAM*,24.7
-99.1,19.39,TEZDF,DF,Tezontle Cd. de MÈx. SMN*,24.6
-99.1,19.39,ENP2,DF,Escuela Nacional Preparatoria 2 Cd. de MÈx. UNAM*,25.5
-99.2,19.4,ENP4,DF,Escuela Nacional Preparatoria 4 Cd. de MÈx. UNAM*,24.3
-99.2,19.4,76680,DF,Tacubaya O. Central,25.1
-99.19,19.42,MDELREY,DF,Molino del Rey Cd. de Mex. SMN*,24.6
-99.13,19.42,ENP7,DF,Escuela Nacional Preparatoria 7 Cd. de MÈx. UNAM*,25.5
-99.17,19.45,CBIOLOGIPN,DF,Eescuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. OCAVM*,28.1
-99.14,19.48,CCHV,DF,Colegio de Ciencias y Humanidades Vallejo Cd. de MÈx. UNAM*,25.9
-99.12,19.48,ENP9,DF,Escuela Nacional Preparatoria 9 Cd. de MÈx. UNAM*,25.0
-99.09,19.48,ENP3,DF,Escuela Nacional Preparatoria 3 Cd. de MÈx. UNAM*,25.7
-99.2,19.5,CCHA,DF,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de MÈx. UNAM*,25.1
-104.6,24.09,76423,DGO,Durango,29.8
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,30.6
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,33.1
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,30.4
-103.35,24.47,SCLDR,DGO,Santa Clara Dgo.,30.6
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,29.3
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,26.3
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,28.3
-104.67,24.03,DRGDR,DGO,Durango Dgo.,29.9
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,26.5
-104.75,24.5,CNTDR,DGO,Canatl·n Dgo.,28.5
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,23.4
-103.08,24.61,SELDR,DGO,Santa Elena Dgo.,25.0
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,33.1
-103.7,24.87,CNCDR,DGO,CuencamÈ Dgo.,31.2
-106.98,24.93,TMZDR,DGO,Tamazula Dgo.,34.3
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,29.4
-105.44,25.22,SACDR,DGO,SalomÈ Acosta Dgo.,28.7
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,30.9
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,31.5
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,32.1
-105.02,25.59,LCRDR,DGO,L·zaro C·rdenas Dgo.,29.3
-103.85,25.82,MPMDR,DGO,MapimÌ Dgo.,35.2
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,25.6
-105.37,25.95,SMODR,DGO,Santa MarÌa del Oro Dgo.,26.4
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,33.6
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,26.7
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,29.2
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,29.4
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,34.9
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,27.8
-105.53,26,SBEDR,DGO,San Bernardo Dgo.,29.5
-104.66,24.2,PAGDR,DGO,PeÒa del ¡guila Dgo.,26.0
-104.33,24.54,PDCDR,DGO,P·nuco de Coronado Dgo.,22.8
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,31.2
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,27.4
-105.67,23.75,SLTDR,DGO,El Salto Dgo.,21.3
-104.92,24.8,GUADR,DGO,GuatimapÈ Dgo.,25.3
-105.05,23.9,NAVDR,DGO,Navios Viejos Dgo.,23.9
