LON,LAT,EDO,CLAVE_SIH,NOMBRE,MAY
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",21.09
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo Magdalena, Cd. de MÈx.",67.31
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",13.22
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",6.86
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de MÈx.",30.98
-99.163889,19.468889,DF,PSNDF,"Planta de Bombeo Nueva Santa MarÌa, Cd. de MÈx.",16.5
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",21.85
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",12.96
-99.126111,19.285833,DF,PVCDF,"Planta de Bombeo Villa Coapa, Cd. de MÈx.",12.69
-99.143056,19.331944,DF,PXTDF,"Planta Xotepingo, Cd. de MÈx.",49.27
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque Tlalpan, Cd. de MÈx.",17.28
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",24.64
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de MÈx.",0
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",46.23
-99.028889,19.338333,DF,SCMDF,"Santa Cruz Meyehualco, Cd. de MÈx.",14.48
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",11.68
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",24.61
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",16.5
-98.960556,19.320833,DF,SSCDF,"SubestaciÛn ElÈctrica Santa Catarina, Cd. de MÈx.",23.11
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",14.47
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",32.25
-99.246389,19.333889,DF,TELDF,"Tanque el Lienzo, Cd. de MÈx.",35.32
