LON,LAT,ESTADO,CLAVE_SIH,NOMBRE,ENE
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",189.6
-92.731389,17.035556,CHIS,SPNICHTALUCUM,"San Pedro Nichtalucum, Chis. SGT*",0.2
-93.820278,16.924722,CHIS,STAMARIACFE,"Santa MarÌa, Chis. CFE*",197.7
-92.148889,14.698611,CHIS,SUCHIATE,"Suchiate, Chis. SMN*",0
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒon del Sumidero, Chis. CFE*",1.4
-93.244722,17.494167,CHIS,SUNUAPA,"Sunuapa, Chis. SGT*",0
-92.266667,14.9,CHIS,TAMCP,"Tapachula (Malpaso), Chis.",0
-92.183333,14.9,CHIS,TAPCP,"Tapachula, Chis.",0
-93.383333,17.425,CHIS,TAPILULA,"Tapilula, Chis. SGT*",239.3
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",0
-93.577778,16.227222,CHIS,TRESPICOSCFE,"Tres Picos, Chis. CFE*",12.3
-93.1,16.761944,CHIS,TUXCP,"Tuxtla oriente, Chis.",3.1
-93.086111,16.761667,CHIS,TUXTLACFE,"Tuxtla Gtz., Chis. CFE*",1.6
-93.133333,16.75,CHIS,TXOCP,"Tuxtla Gtz. Observatorio, Chis.",2.7
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",433.1
-92.147222,15.091111,CHIS,VTACANA,"Volc·n Tacana, Chis. SMN*",12.8
-93.330556,17.116667,CHIS,YAMCP,"Yamonho, Chis.",202
-93.328333,17.120833,CHIS,YAMONHOCFE,"Yamonho, Chis. CFE*",220.9
-91.729722,16.909167,CHIS,YAQUINTELA,"Yaquintela, Chis. SGT*",123.4
-92.050556,16.116389,CHIS,ZAPALUTA,"Zapaluta, Chis. OCFS*",16
-100.837222,28.344444,COAH,ADLCL,"Allende, Coah.",2
-101.057222,29.446944,COAH,AMSCL,"Amistad, Coah.",0
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",0.1
-102.064444,26.983333,COAH,CCGCL,"Cuatro CiÈnegas, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Cd. AcuÒa, Coah.",2
-100.661111,26.844444,COAH,CDLCL,"Candela, Coah.",4
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"E. C. Saltillo, Coah.",0.4
-103.262778,25.773889,COAH,FIMCL,"Francisco I. Madero, Coah.",0
-101.145,27.85,COAH,HSABINAS,"H. Sabinas, Coah. SGT*",2.3
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",1
-101.4225,26.908333,COAH,MCVCL,"Monclova, Coah.",7.8
-101.33,27.92,COAH,NUEVAROSITA,"Nueva Rosita, Coah. SMN*",0.3
-102.181667,25.440833,COAH,PARCL,"Parras, Coah.",0
-100.5325,28.706667,COAH,PNGCL,"Piedras Negras, Coah.",6.2
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",2.5
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",0
-101.016667,25.376389,COAH,SALCL,"Saltillo Obs., Coah.",1
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",0.2
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",0.1
-103.45,25.541667,COAH,TORCL,"TorreÛn observatorio, Coah.",0.1
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",3.5
-100.898889,29.033889,COAH,ZPTCL,"Zapata, Coah.",0
-103.611389,19.248611,COL,BVSCM,"Buena Vista, Col.",3
-103.723611,18.754722,COL,CDOCM,"Cerro de Ortega, Col.",19
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",4.7
-103.6325,18.813056,COL,CLLCM,"Callejones, Col.",13
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.733333,19.233333,COL,COLIMAob,"Observatorio Colima, Col. SMN*",2.8
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0.5
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",3.6
-103.884444,19.111389,COL,DJLCM,"Derivadora Jala (Madrid), Col.",0.9
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",1.8
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",5.5
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",3.9
-104.318333,19.044444,COL,MNZCM,"Manzanillo, Col.",3.3
-103.816667,19.266667,COL,PNTCM,"PeÒitas, Col.",0
-103.725278,19.223333,COL,RDRCM,"Radar, Col.",1.5
-103.700833,19.408333,COL,SCHCM,"Suchitl·n, Col.",0.5
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatlan I, Col. SMN*",11.6
-103.882778,18.925556,COL,TCMCM,"Tecom·n, Col.",0
-103.396667,18.967222,COL,TRJCM,"Trojes, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",3
-99.210278,19.218611,DF,AJSDF,"Ajusco, D.F.",9.2
-99.171667,19.453333,DF,CBIDF,ESC. NAL. DE CIENCIAS BIOLOGICAS IPN SMN,11.7
-99.180556,19.346667,DF,CCUDF,"Centro Universitario, D.F.",14
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, D.F.",29.2
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, D.F.",16.7
-99.1375,19.469722,DF,CMTDF,"Cien Metros, D.F.",0
-99.183333,19.486389,DF,CMYDF,"Campo Mecoaya, D.F.",8.1
-99.09,19.190278,DF,CTNDF,"Cuautenco, D.F.",0.3
-99.09,19.484167,DF,CYLDF,"Coyol, D.F.",9.4
-99.131389,19.431111,DF,DDFDF,"Gobierno del D.F., D.F.",13.5
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, D.F.",7.9
-99.286389,19.3625,DF,EYQDF,"El Yaqui, D.F.",8.4
-99.091667,19.478056,DF,GCNDF,"KM. 6+250 (Gran Canal), D.F.",7.8
-99.2625,19.308056,DF,HYTDF,"Huayatla, D.F.",0
-99.3,19.340556,DF,LVNDF,"La Venta, D.F.",36.3
